212O;R VEREADOR ANTÔNIO DIAS R EUCLIDES DA CUNHA R PINTO BANDEIRA AV NOSSA SENHORA DAS DORES AV NOSSA SENHORA MEDIANEIRA R GENERAL NETO R RIACHUELO R ÂNGELO UGLIONE R ANDRÉ MARQUES R DOS ANDRADAS AV RIO BRANCO TV FERREIRA R MARECHAL DEODORO R VISCONDE DE FERREIRA PINTO R EUCLIDES DA CUNHA R VEREADOR ANTÔNIO DIAS R GUARACI SCHMIDT TERMINAL XANGO
212X;TERMINAL XANGO R GUARACI SCHMIDT R VEREADOR ANTÔNIO DIAS / VENDA R EUCLIDES DA CUNHA R VISCONDE DE FERREIRA PINTO R MARECHAL DEODORO R SETE DE SETEMBRO R MANOEL RIBAS AV RIO BRANCO R DO ACAMPAMENTO AV NOSSA SENHORA MEDIANEIRA AV NOSSA SENHORA DAS DORES R PADRE CAETANO
212W;R VEREADOR ANTÔNIO DIAS R EUCLIDES DA CUNHA R PINTO BANDEIRA AV NOSSA SENHORA DAS DORES AV NOSSA SENHORA MEDIANEIRA R GENERAL NETO R RIACHUELO R ÂNGELO UGLIONE R ANDRÉ MARQUES R DOS ANDRADAS AV RIO BRANCO TV FERREIRA R MARECHAL DEODORO R VISCONDE DE FERREIRA PINTO R EUCLIDES DA CUNHA R VEREADOR ANTÔNIO DIAS
212Y;R VEREADOR ANTÔNIO DIAS / VENDA R EUCLIDES DA CUNHA R ASSIS BRASIL
212J;R VEREADOR ANTÔNIO DIAS R EUCLIDES DA CUNHA R SILVA JARDIM R ANDRÉ MARQUES R VALE MACHADO AV RIO BRANCO R DO ACAMPAMENTO AV NOSSA SENHORA MEDIANEIRA AV NOSSA SENHORA DAS DORES R PINTO BANDEIRA R EUCLIDES DA CUNHA R TENENTE MIRANDA R ZOLA KIELING R MAJOR DUARTE R FÉLIX MANARIN R VACARIA R JOÃO BRUNHAUSER R PROFESSOR FONTOURA ILHA R LUIZ CASTAGNA
212T;TERMINAL SITIO R GUARACI SCHMIDT R VEREADOR ANTÔNIO DIAS / VENDA R EUCLIDES DA CUNHA R VISCONDE DE FERREIRA PINTO R MARECHAL DEODORO R SETE DE SETEMBRO R MANOEL RIBAS AV RIO BRANCO R DO ACAMPAMENTO AV NOSSA SENHORA MEDIANEIRA AV NOSSA SENHORA DAS DORES R PINTO BANDEIRA R EUCLIDES DA CUNHA R OSVALDO SCHIRMER R FÉLIX MANARIN R VACARIA R JOÃO BRUNHAUSER R PROFESSOR FONTOURA ILHA R LUIZ CASTAGNA
212Z;R VEREADOR ANTÔNIO DIAS R EUCLIDES DA CUNHA R SILVA JARDIM R ANDRÉ MARQUES R VALE MACHADO AV RIO BRANCO R DO ACAMPAMENTO AV NOSSA SENHORA MEDIANEIRA AV NOSSA SENHORA DAS DORES R PINTO BANDEIRA R EUCLIDES DA CUNHA R OSVALDO SCHIRMER R VACARIA R JOÃO BRUNHAUSER R PROFESSOR FONTOURA ILHA R LUIZ CASTAGNA
212U;R VEREADOR ANTÔNIO DIAS R EUCLIDES DA CUNHA R VISCONDE DE FERREIRA PINTO R ASSIS BRASIL R CORONEL ERNESTO BECKER R JOSÉ DO PATROCÍNIO R ANDRÉ MARQUES R VALE MACHADO R DO ACAMPAMENTO AV RIO BRANCO AV NOSSA SENHORA MEDIANEIRA AV NOSSA SENHORA DAS DORES R PINTO BANDEIRA R EUCLIDES DA CUNHA R OSVALDO SCHIRMER R FÉLIX MANARIN R VACARIA R JOÃO BRUNHAUSER R PROFESSOR FONTOURA ILHA R LUIZ CASTAGNA
212Q;TERMINAL XANGO R GUARACI SCHMIDT R VEREADOR ANTÔNIO DIAS / VENDA R EUCLIDES DA CUNHA R VISCONDE DE FERREIRA PINTO R MARECHAL DEODORO R SETE DE SETEMBRO R MANOEL RIBAS AV RIO BRANCO R DO ACAMPAMENTO AV NOSSA SENHORA MEDIANEIRA AV NOSSA SENHORA DAS DORES R PINTO BANDEIRA R EUCLIDES DA CUNHA R OSVALDO SCHIRMER R FÉLIX MANARIN R VACARIA R JOÃO BRUNHAUSER R PROFESSOR FONTOURA ILHA R LUIZ CASTAGNA
212H;TERMINAL SITIO R GUARACI SCHMIDT R VEREADOR ANTÔNIO DIAS/ VENDA R EUCLIDES DA CUNHA R VISCONDE DE FERREIRA PINTO R MARECHAL DEODORO R SETE DE SETEMBRO R MANOEL RIBAS AV RIO BRANCO R DO ACAMPAMENTO R JOSÉ BONIFÁCIO R RIACHUELO R PINHEIRO MACHADO R BENJAMIN CONSTANT R TUIUTI R BENJAMIN CONSTANT R MAJOR DUARTE R EUCLIDES DA CUNHA R OSVALDO SCHIRMER R FÉLIX MANARIN R VACARIA R JOÃO BRUNHAUSER R PROFESSOR FONTOURA ILHA R LUIZ CASTAGNA
212K;TERMINAL XANGÔ R GUARACI SCHMIDT R VEREADOR ANTÔNIO DIAS / VENDA R EUCLIDES DA CUNHA R VISCONDE DE FERREIRA PINTO R MARECHAL DEODORO R SETE DE SETEMBRO R MANOEL RIBAS AV RIO BRANCO R DO ACAMPAMENTO R JOSÉ BONIFÁCIO R RIACHUELO R PINHEIRO MACHADO R BENJAMIN CONSTANT R TUIUTI R BENJAMIN CONSTANT R MAJOR DUARTE R EUCLIDES DA CUNHA R OSVALDO SCHIRMER R FÉLIX MANARIN R VACARIA R JOÃO BRUNHAUSER R PROFESSOR FONTOURA ILHA R LUIZ CASTAGNA
541E;R VEREADOR ANTÔNIO DIAS R EUCLIDES DA CUNHA R PINTO BANDEIRA AV NOSSA SENHORA DAS DORES AV NOSSA SENHORA MEDIANEIRA R GENERAL NETO R RIACHUELO R ÂNGELO UGLIONE R ANDRÉ MARQUES R DOS ANDRADAS AV RIO BRANCO TV FERREIRA R SETE DE SETEMBRO R MARECHAL DEODORO R VISCONDE DE FERREIRA PINTO R EUCLIDES DA CUNHA
541G;R VEREADOR ANTÔNIO DIAS R EUCLIDES DA CUNHA R PINTO BANDEIRA AV NOSSA SENHORA DAS DORES AV NOSSA SENHORA MEDIANEIRA R DOUTOR TURI R DO ACAMPAMENTO AV FERNANDO FERRARI R GERALDO ARONIS R PEDRO PEREIRA ROD BR-158 - PISTA LATERAL R PEDRO SANTINI R GENERAL NETO R PADRE AZEVEDO AV FERNANDO FERRARI R GENERAL NETO R RIACHUELO R ÂNGELO UGLIONE R ANDRÉ MARQUES R DOS ANDRADAS AV RIO BRANCO TV FERREIRA R SETE DE SETEMBRO R MARECHAL DEODORO R VISCONDE DE FERREIRA PINTO R EUCLIDES DA CUNHA
541P;TERMINAL XANGÔ R GUARACI SCHMIDT R VEREADOR ANTÔNIO DIAS/ VENDA R EUCLIDES DA CUNHA R PINTO BANDEIRA AV NOSSA SENHORA DAS DORES AV NOSSA SENHORA MEDIANEIRA R GENERAL NETO R RIACHUELO R ÂNGELO UGLIONE R ANDRÉ MARQUES R DOS ANDRADAS AV RIO BRANCO R MANOEL RIBAS R SETE DE SETEMBRO R MARECHAL DEODORO R VISCONDE DE FERREIRA PINTO R EUCLIDES DA CUNHA
541X;TERMINAL XANGÔ R GUARACI SCHMIDT R VEREADOR ANTÔNIO DIAS / VENDA R EUCLIDES DA CUNHA R VISCONDE DE FERREIRA PINTO R MARECHAL DEODORO R SETE DE SETEMBRO R MANOEL RIBAS AV RIO BRANCO R DO ACAMPAMENTO AV FERNANDO FERRARI R GERALDO ARONIS R PEDRO PEREIRA ROD BR-158 - PISTA LATERAL R PEDRO SANTINI R GENERAL NETO R PADRE AZEVEDO AV FERNANDO FERRARI R GENERAL NETO AV NOSSA SENHORA MEDIANEIRA AV NOSSA SENHORA DAS DORES R PINTO BANDEIRA R EUCLIDES DA CUNHA R ASSIS BRASIL
223M;TERMINAL RINCÃO R GUARACI SCHMIDT R VEREADOR ANTÔNIO DIAS R EUCLIDES DA CUNHA R SILVA JARDIM R ANDRÉ MARQUES R VALE MACHADO AV RIO BRANCO R DO ACAMPAMENTO AV NOSSA SENHORA MEDIANEIRA AV NOSSA SENHORA DAS DORES R PINTO BANDEIRA R EUCLIDES DA CUNHA R TENENTE MIRANDA R ZOLA KIELING R MAJOR DUARTE R FÉLIX MANARIN R VACARIA R JOÃO BRUNHAUSER R PROFESSOR FONTOURA ILHA R LUIZ CASTAGNA
223O;R VEREADOR ANTÔNIO DIAS R EUCLIDES DA CUNHA R VISCONDE DE FERREIRA PINTO R MARECHAL DEODORO R SETE DE SETEMBRO R MANOEL RIBAS AV RIO BRANCO R DO ACAMPAMENTO AV NOSSA SENHORA MEDIANEIRA AV NOSSA SENHORA DAS DORES R PADRE CAETANO R PINTO BANDEIRA R EUCLIDES DA CUNHA R OSVALDO SCHIRMER R IVORA R VACARIA R JOÃO BRUNHAUSER R PROFESSOR FONTOURA ILHA R LUIZ CASTAGNA
223L;TERMINAL SITIO R GUARACI SCHMIDT R VEREADOR ANTÔNIO DIAS R EUCLIDES DA CUNHA R VISCONDE DE FERREIRA PINTO R MARECHAL DEODORO R SETE DE SETEMBRO R MANOEL RIBAS AV RIO BRANCO R DO ACAMPAMENTO AV NOSSA SENHORA MEDIANEIRA AV NOSSA SENHORA DAS DORES R PADRE CAETANO R PINTO BANDEIRA R EUCLIDES DA CUNHA R OSVALDO SCHIRMER R FÉLIX MANARIN R VACARIA R JOÃO BRUNHAUSER R PROFESSOR FONTOURA ILHA R LUIZ CASTAGNA
223S;R VEREADOR ANTÔNIO DIAS R EUCLIDES DA CUNHA R VISCONDE DE FERREIRA PINTO R ASSIS BRASIL R CORONEL ERNESTO BECKER R JOSÉ DO PATROCÍNIO R ANDRÉ MARQUES R VALE MACHADO AV RIO BRANCO R DO ACAMPAMENTO AV NOSSA SENHORA MEDIANEIRA AV NOSSA SENHORA DAS DORES R PADRE CAETANO
223F;TERMINAL RINCÃO R GUARACI SCHMIDT R VEREADOR ANTÔNIO DIAS R EUCLIDES DA CUNHA R VISCONDE DE FERREIRA PINTO R MARECHAL DEODORO R SETE DE SETEMBRO R MANOEL RIBAS AV RIO BRANCO R DO ACAMPAMENTO AV FERNANDO FERRARI AV NOSSA SENHORA MEDIANEIRA AV NOSSA SENHORA DAS DORES R PADRE CAETANO R PINTO BANDEIRA R EUCLIDES DA CUNHA R OSVALDO SCHIRMER R FÉLIX MANARIN R VACARIA R JOÃO BRUNHAUSER R. PROFESSOR FONTOURA ILHA R LUIZ CASTAGNA
223D;TERMINAL RINCÃO R GUARACI SCHMIDT R VEREADOR ANTÔNIO DIAS / VENDA R EUCLIDES DA CUNHA R VISCONDE DE FERREIRA PINTO R MARECHAL DEODORO R SETE DE SETEMBRO R MANOEL RIBAS AV RIO BRANCO R DO ACAMPAMENTO R JOSÉ BONIFÁCIO R RIACHUELO R PINHEIRO MACHADO R BENJAMIN CONSTANT R TUIUTI R BENJAMIN CONSTANT R MAJOR DUARTE R EUCLIDES DA CUNHA R OSVALDO SCHIRMER R FÉLIX MANARIN R VACARIA R JOÃO BRUNHAUSER R. PROFESSOR FONTOURA ILHA R LUIZ CASTAGNA
