155A;7 DE DEZEMBRO
146R;Gentill Dallalana - Caturrita - Bela Uni�o - Salgado Filho - Andradas.
147K;Gentil Dallalana - Penidenci�ria - Corredor Santa Marta - Santa Terezinha - Curva do L - Salgado Filho - Acampamento.
146S;Gentil Dallalana - Santa Terezinha - Caturrita - Curva do L - Salgado Filho - Rodovi�ria
146S;Gentill Dallalana - Bela Uni�o - Curva do L - Salgado Filho - Rodovi�ria
146S;Gentill Dallalana - Santa Terezinha - Caturrita - Bela Uni�o - Curva do L - Salgado Filho - Rodovi�ria
147K;Gentil Dallalana - Corredor Santa Marta - Penitenci�ria - Bela Uni�o - Curva do L - Salgado Filho Acampamento.
146V;Gentil Dallalana - Santa Terezinha - Caturrita - curva do L - Salgado Filho - Acampamento
146P;Gentil Dallalana - Caturrita - Bela Uni�o - curva do L - Kennedy - Acampamento
0559;IPIRANGA
140B;Itagiba-Norte-Kennedy-Rodovi�ria
541I;R ASSIS BRASIL R EUCLIDES DA CUNHA R VISCONDE DE FERREIRA PINTO R MARECHAL DEODORO R SETE DE SETEMBRO R MANOEL RIBAS AV RIO BRANCO R DO ACAMPAMENTO AV NOSSA SENHORA MEDIANEIRA AV NOSSA SENHORA DAS DORES R PADRE CAETANO R PINTO BANDEIRA R EUCLIDES DA CUNHA R ASSIS BRASIL.
541M;R ASSIS BRASIL R EUCLIDES DA CUNHA R VISCONDE DE FERREIRA PINTO R MARECHAL DEODORO R SETE DE SETEMBRO R MANOEL RIBAS AV RIO BRANCO R DO ACAMPAMENTO AV NOSSA SENHORA MEDIANEIRA AV NOSSA SENHORA DAS DORES R PADRE CAETANO R PINTO BANDEIRA R EUCLIDES DA CUNHA R M�E ONDINA DA CONCEI��O R ARMANDO CECCIN R MONTANHA RUSSA R ARMANDO CECCIN R M�E ONDINA DA CONCEI��O R EUCLIDES DA CUNHA.
541R;R ASSIS BRASIL R EUCLIDES DA CUNHA R VISCONDE DE FERREIRA PINTO R MARECHAL DEODORO R SETE DE SETEMBRO R MANOEL RIBAS AV RIO BRANCO R DO ACAMPAMENTO AV FERNANDO FERRARI R GERALDO ARONIS R PEDRO PEREIRA ROD BR-158 - PISTA LATERAL R PEDRO SANTINI R GENERAL NETO R PADRE AZEVEDO AV FERNANDO FERRARI R GENERAL NETO AV NOSSA SENHORA MEDIANEIRA AV NOSSA SENHORA DAS DORES R PADRE CAETANO R PINTO BANDEIRA R EUCLIDES DA CUNHA
541N;R ASSIS BRASIL R EUCLIDES DA CUNHA R VISCONDE DE FERREIRA PINTO R MARECHAL DEODORO R SETE DE SETEMBRO R MANOEL RIBAS AV RIO BRANCO R DO ACAMPAMENTO AV FERNANDO FERRARI R GERALDO ARONIS R PEDRO PEREIRA ROD BR-158 - PISTA LATERAL R PEDRO SANTINI R GENERAL NETO R PADRE AZEVEDO AV FERNANDO FERRARI R GENERAL NETO AV NOSSA SENHORA MEDIANEIRA AV NOSSA SENHORA DAS DORES R PADRE CAETANO R PINTO BANDEIRA R EUCLIDES DA CUNHA R TENENTE MIRANDA R PROFESSOR FONTOURA ILHA R LUIZ CASTAGNA R AUGUSTO RIBAS R LUIZ DURAND R TENENTE MIRANDA R EUCLIDES DA CUNHA R M�E ONDINA DA CONCEI��O R ARMANDO CECCIN R MONTANHA RUSSA R ARMANDO CECCIN R M�E ONDINA DA CONCEI��O R EUCLIDES DA CUNHA.
226C;JARDIM BERLEZE TERRA NOVA MORADAS
226E;JARDIM BERLEZE ZILDA ARNS VIA RES DOM IVO LOSCHEISTER
226F;JARDIM BERLEZE INVERTIDO ZILDA ARNS VIA RES DOM IVO LOSCHEISTER
226T;JARDIM BERLEZE INVERTIDO TERRA NOVA ZILDA ARNS VIA RES DOM IVO LOSCHEISTER
226L;JARDIM BERLEZE INVERTIDO TERRA NOVA MORADAS
226M;JARDIM BERLEZE VIA ZILDA ARNS RES DOM IVO LOSCHEISTER TERRA NOVA SAI DO MANECO
226H;JARDIM BERLEZE TERRA NOVA ZILDA ARNS VIA DOM IVO LOSCHEISTER
226B;JARDIM BERLEZE INVERTIDO
226J;JARDIM BERLEZE INVERTIDO SAI DO MANECO TERRA NOVA
0226;JARDIM BERLEZE
226A;MARINGA
226D;MARINGA VIA ZILDA ARNS
226I;MARINGA VIA ZILDA ARNS ATE MANECO
226I;MARINGA ZILDA ARNS ATE O MANECO
551A;MEDIANEIRA CARLOS HUR
551B;MEDIANEIRA C HUR RODOVIARIA
0180;MINUANO
180A;MINUANO VIA VILA TOMAZETTI
180B;MINUANO VILA LORENZI
